	age	createDays	event_count	fan_count	follow_count	gender	level	listening_songs_num	location	playlistCount	userId	user_description
579	2	696	2	5	7	2	8	3779	7	3	414532650	好好学习 和你 一起
580	unknown	408	0	2	4	1	6	870	3	1	1385348001	
581	unknown	52	0	7	3	1	4	349	4	1	1769118128	
582	unknown	227	0	1	7	1	3	121	1	1	1577206603	
583	14	135	0	1	3	1	5	1176	3	12	1685697332	湉湉咖黎
584	18	223	0	1	3	2	7	1048	3	2	1581652860	
585	unknown	685	1	1	1	1	8	3810	3	5	493863053	
586	29	1108	4	1	5	1	8	7488	6	11	259924770	恃宠而骄 不负厚爱
587	unknown	8	0	1	5	0	2	55	3	1	1815276736	
588	16	1079	3	1	1	1	1	39	4	2	271219022	Get Everybody Moving
589	unknown	705	0	6	1	1	7	1853	4	7	481761469	
590	unknown	251	0	0	4	1	6	1967	1	3	1543264916	
591	unknown	771	0	1	7	1	6	840	3	4	430763795	
592	unknown	874	0	1	5	1	5	394	4	1	364484847	
593	unknown	1252	0	2	2	0	7	2313	3	29	103308263	
594	unknown	733	0	4	9	1	6	874	1	11	1366183182	
595	unknown	755	2	1	5	1	6	1000	0	2	440226493	嘴上没关系心里很在意
596	unknown	784	1	2	9	1	6	945	4	3	423181982	
597	22	159	0	1	3	1	5	348	1	1	1662208847	
598	unknown	630	0	2	7	1	7	1396	0	2	547137588	
599	20	612	0	1	5	1	6	412	3	1	562189965	青春若有一颗不变的心。
600	unknown	675	0	4	4	2	6	682	2	2	501179319	
601	18	798	2	3	1	2	7	1391	3	2	413830444	
602	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
603	18	678	1	2	1	2	9	10773	3	6	499332328	飞进你心里~
604	unknown	17998	3	1	1	1	8	5307	1	15	39976833	
605	unknown	457	1	1	7	1	6	1009	1	4	1315352910	遇见你是偶然不经意间的惊喜
606	30	1	0	1	3	0	0	0	3	1	1821844233	才知你去了个地方叫永远，你可否代我发表退役宣言
607	unknown	993	2	1	9	1	7	1565	6	7	308813553	抬头是精神，蹭屄是牺牲😌
608	unknown	1105	3	6	2	2	7	1697	5	7	261603504	己所不欲勿施于人
609	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
610	unknown	120	0	0	4	2	5	254	6	7	1703382394	
611	unknown	547	3	6	3	1	7	2475	6	2	616929917	一事无成，只剩遗憾
612	19	568	0	6	3	1	8	6070	5	11	597738076	
613	unknown	591	1	1	1	2	8	5792	0	21	568980957	大家都好热爱生活 是装的吗？💉
614	unknown	890	0	1	1	1	7	1042	4	6	356267853	
615	-3	690	2	4	1	2	7	2165	1	19	491236042	生生不息。
616	18	282	0	4	5	1	7	1723	4	12	1509479582	这个人想要本硕博走一波。
617	unknown	890	0	1	1	1	7	1042	4	6	356267853	
618	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
619	16	113	2	1	2	2	4	202	5	4	1709729812	君は本当に大きくなったんだ
620	unknown	846	0	3	4	1	4	177	3	3	380272179	薇heibai88588
621	unknown	453	0	2	5	0	5	340	3	4	1341316522	
622	unknown	614	0	3	1	0	7	1464	1	7	560059877	
623	unknown	17998	4	4	1	0	7	1898	0	2	41046222	stay chill
624	unknown	366	4	2	3	1	5	272	0	4	1426380850	有些事，不管是输还是赢，我们都必须去做。
625	unknown	874	0	2	3	1	6	652	6	5	364755039	
626	unknown	955	0	5	0	2	7	2637	0	7	322467121	Doctor
627	0	6	0	5	3	0	1	226	4	2	1816955658	
628	19	299	0	2	6	2	5	356	6	3	1490917928	
629	unknown	51	0	2	4	2	0	8	1	1	1769915076	
630	48	496	0	5	3	1	6	873	5	2	1301960832	
631	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
632	27	17998	1	2	1	1	7	1079	3	3	29353870	听你爱听的歌
633	unknown	934	1	5	8	0	6	980	3	7	129362706	
634	unknown	14	0	1	3	1	0	1	2	1	1808875483	
635	unknown	5	0	1	2	1	0	9	1	2	1818651829	
